match,teams,stage,city,kickoff_et,block,category,seat,row,buyer_usd,first_seen_et
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,15,15,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,16,15,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,17,15,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,18,15,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,13,16,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,14,16,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,15,16,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,16,16,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,17,16,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,18,16,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,13,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,14,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,15,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,16,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,17,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,18,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,19,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,20,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,21,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,22,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,23,20,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,7,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,8,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,9,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,10,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,11,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,12,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,13,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,14,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,15,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,16,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,17,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,18,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,19,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,20,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,21,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,22,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,23,21,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,1,22,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,2,22,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,3,22,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,4,22,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,123,Category 1,5,22,1420.25,2026-07-03 23:02:59
